change_id,filename,author,patch_set,id,comment_type,line,in_reply_to,updated,message,unresolved,quarter
47937,modules/openstack_project/manifests/review_security.pp,5263,13,AAAATn%2F9FgY%3D,Line,80,,2013-12-16 22:40:58,It might make some sense to rename these if doing so doesn't over-complicate the puppetry.,False,12
47937,modules/openstack_project/manifests/review_security.pp,5263,13,AAAATn%2F9Ffo%3D,Line,102,,2013-12-16 22:40:58,Definitely want this false (or taken out entirely if it defaults to false already).,False,12
47937,modules/openstack_project/manifests/review_security.pp,5263,13,AAAATn%2F9Fg0%3D,Line,109,,2013-12-16 22:40:58,The contactstore_.* and script_.* parameters should be empty defaults since they won't be used (or left out entirely if they already have empty defaults in the class being instantiated).,False,12
47937,modules/openstack_project/manifests/review_security.pp,5263,13,AAAATn%2F9Fgs%3D,Line,115,,2013-12-16 22:40:58,Empty the github_.* parameters too.,False,12
47937,modules/openstack_project/manifests/review_security.pp,5263,13,AAAATn%2F9FfQ%3D,Line,101,,2013-12-16 22:40:58,We probably want to start with Gerrit 2.8 so there's not yet another server we have to upgrade when the time comes?,False,12
47937,modules/openstack_project/manifests/review_security.pp,5263,13,AAAATn%2F9FgQ%3D,Line,68,,2013-12-16 22:40:58,"If we switch to a Trove DB, then this class is unneeded.",False,12
47937,manifests/site.pp,2,9,AAAATH%2F%2FnHs%3D,Line,34,,2013-10-12 21:38:56,I betcha we don't want any swift config either.,False,12
54030,modules/seafile/templates/ccnet/mykey.peer,6609,7,AAAATn%2F%2F2SY%3D,Line,2,,2013-10-27 18:18:10,"Since this is a private key, instead of including this empty-ish file, you'll want to have puppet create the file based on hiera data. For example, see how we handle the private ssh key $reviewday_rsa_key_contents here:

https://git.openstack.org/cgit/openstack-infra/config/tree/modules/reviewday/manifests/site.pp",False,12
47937,modules/openstack_project/manifests/review_security.pp,5263,10,AAAATn%2F%2Bqw8%3D,Line,1,AAAATn%2F%2Bulc%3D,2013-11-21 19:38:56,"I think it's probably fine. We should be trying simplify this by moving as much stuff as we can into the common gerrit class or the gerrit module itself, and then review, review_dev and review_security classes just continue to inherit from openstack_project::gerrit as we do now. Adding more depth to the inheritance makes more places we have to be careful to pass variables through all the right classes.",False,12
47937,modules/openstack_project/manifests/review_security.pp,5263,13,AAAATn%2F9Fhk%3D,Line,132,,2013-12-16 22:40:58,Not needed. This is from the bad old days of synchronizing user account info from LP.,False,12
59578,nova/network/neutronv2/api.py,748,3,AAAATn%2F%2BB8A%3D,Line,319,,2013-12-03 09:29:35,I don't see why we need this comment and this if. Can you elaborate?,False,12
59578,nova/network/neutronv2/api.py,4395,3,AAAATn%2F93yI%3D,Line,315,AAAATn%2F94sM%3D,2013-12-05 00:42:04,Done,False,12
54030,modules/openstack_project/manifests/seafile.pp,2,7,AAAATn%2F%2F2SQ%3D,Line,13,,2013-10-27 18:15:11,You don't define a thing called modules/seafile/manifests/site.pp anywhere. All of the code you've got is in seafil/manifests/init.pp - did you forget to git add something?,False,12
54030,modules/openstack_project/manifests/seafile.pp,6316,7,AAAATn%2F%2F2ME%3D,Line,13,AAAATn%2F%2F2Pw%3D,2013-10-27 21:15:13,I have a modules/seafile/manifests/site.pp again.,False,12
54030,modules/openstack_project/manifests/seafile.pp,6316,7,AAAATn%2F%2F2Pw%3D,Line,13,AAAATn%2F%2F2SQ%3D,2013-10-27 20:19:13,"When I had a modules/owncloud/manifests/site.pp with owncloud, Clark commented that the content of modules/owncloud/manifests/site.pp should go in root manifests/site.pp so I did: https://review.openstack.org/#/c/53868/5/modules/owncloud/manifests/site.pp",False,12
54030,modules/seafile/manifests/init.pp,6316,5,AAAATn%2F%2F2UM%3D,Line,2,,2013-10-27 16:57:24,"Once we agree on where the app should live on the server, I will give values to owner, group and mode.",False,12
54030,modules/seafile/manifests/init.pp,2,7,AAAATn%2F%2F2SM%3D,Line,11,,2013-10-27 18:15:11,"Where are you defining $root_directory? Also, I think if you want to have it substituted, you need to use ""s",False,12
54030,modules/seafile/templates/ccnet/mykey.peer,6316,7,AAAATn%2F%2F2PA%3D,Line,2,AAAATn%2F%2F2SY%3D,2013-10-27 20:19:13,Okay thanks. I will follow this.,False,12
59578,nova/network/neutronv2/api.py,4395,3,AAAATn%2F98wo%3D,Line,319,AAAATn%2F%2BB8A%3D,2013-12-04 05:10:31,"Sure, If a network is set to port_security_enabled=False we don't want the port to be created on that network with the default security group. Unfortinately, nova-api automatically adds the default security group. Thus here we keep track and drop it. Once the port-creation is moved out of nova-compute this code can be dropped as neutron will be deciding if a port should have a security group or not.",False,12
47937,modules/openstack_project/templates/review.projects.yaml.erb,2,9,AAAATH%2F%2FnHo%3D,Line,15,,2013-10-12 21:38:56,Have you tested how this works or doesn't work with manage-projects?,False,12
59578,nova/network/neutronv2/api.py,4395,3,AAAATn%2F93yE%3D,Line,319,AAAATn%2F94sQ%3D,2013-12-05 00:42:04,Done,False,12
60492,/COMMIT_MSG,1297,1,AAAATn%2F9swk%3D,Line,9,,2013-12-07 00:56:13,Probably want to reference the blueprint here?,False,12
54030,modules/openstack_project/manifests/seafile.pp,6316,7,AAAATn%2F%2F2Ps%3D,Line,10,AAAATn%2F%2F2Sw%3D,2013-10-27 20:19:13,okay,False,12
54030,modules/openstack_project/manifests/seafile.pp,6609,7,AAAATn%2F%2F2Sw%3D,Line,10,,2013-10-27 18:18:10,"This is within the openstack_project module already, so not neccesary",False,12
54030,modules/openstack_project/manifests/seafile.pp,6316,7,AAAATn%2F%2F2Pk%3D,Line,2,AAAATn%2F%2F2Ro%3D,2013-10-27 20:19:13,I can do that.,False,12
54030,modules/openstack_project/manifests/seafile.pp,6609,7,AAAATn%2F%2F2Ro%3D,Line,2,,2013-10-27 18:18:10,"As a general comment, there are a lot of lonely variables floating around templates and the seafile module, you'll want to define them in this file, whether it's pointing to their actual locations here or referencing data in hiera.",False,12
53322,tempest/cli/__init__.py,8415,1,AAAATn%2F92As%3D,Line,92,,2013-12-05 10:35:48,trailing tab,False,12
57539,/COMMIT_MSG,860,4,AAAATn%2F9viI%3D,Line,7,,2013-12-06 14:38:35,1st line cannot span two lines (many git tools use the first line of a commit),False,12
57539,/COMMIT_MSG,860,4,AAAATn%2F9vho%3D,Line,9,,2013-12-06 14:38:35,"Probably needs a ""DocImpact""",False,12
57539,keystoneclient/middleware/signature_validator.py,1916,4,AAAATn%2F%2BFF0%3D,Line,17,,2013-12-02 19:16:14,"no need to duplicate code, just import it from auth_token middleware",False,12
57539,keystoneclient/middleware/signature_validator.py,1916,4,AAAATn%2F%2BFGA%3D,Line,25,,2013-12-02 19:16:14,"pep8, need 2 lines separator",False,12
57539,keystoneclient/middleware/signature_validator.py,860,4,AAAATn%2F9vZU%3D,Line,164,,2013-12-06 14:38:35,"I'm not sure I'm 100% sure I understand the protocol of HTTP_X_IDENTITY_CONFIRMED. However, it looks like you won't set env['signature.validator']. I guess it depends on where tempurl, auth_token and this middleware sit in the pipeline. However, as-is my guess is that if you used by x-auth-token and signed the request with tempurl, that auth_token would set HTTP_X_IDENTITY_CONFIRMED. However, when the request attempts to pass through tempurl, the signature validation would fail.",False,12
59578,nova/tests/network/test_neutronv2.py,6873,3,AAAATn%2F94pg%3D,Line,772,,2013-12-04 21:41:44,How about a test with nets5 (port_security_enabled=False) but a specific security group is requested and there is a subnet.,False,12
59578,nova/tests/network/test_neutronv2.py,4395,3,AAAATn%2F93yA%3D,Line,772,AAAATn%2F94pg%3D,2013-12-05 00:42:04,Done,False,12
47937,doc/source/review-security.rst,6987,12,AAAATn%2F%2Bp8E%3D,Line,39,,2013-11-21 23:16:45,This is my impression from of high level goals from.. http://lists.openstack.org/pipermail/openstack-infra/2013-October/000314.html,False,12
59578,nova/network/neutronv2/api.py,748,3,AAAATn%2F96Mw%3D,Line,319,AAAATn%2F98wo%3D,2013-12-04 16:05:29,"I get it, but statement 319-320 adds nothing, so why do we have it? Documentation purposes only? The note is more than enough.",False,12
59578,nova/network/neutronv2/api.py,4395,3,AAAATn%2F96Gc%3D,Line,319,AAAATn%2F96Mw%3D,2013-12-04 16:27:52,are you sure you mean 319-320? These lines do change the logic otherwise an exception would be raised on 324.,False,12
59578,nova/network/neutronv2/api.py,6873,3,AAAATn%2F94sQ%3D,Line,319,AAAATn%2F96Gc%3D,2013-12-04 21:41:44,"I think the confusion is over the logic which requires the pass, maybe instead of a pass you log something at debug level?",False,12
59578,nova/network/neutronv2/api.py,748,3,AAAATn%2F9fe4%3D,Line,319,AAAATn%2F93yE%3D,2013-12-11 00:21:59,"I should've been clearer: even though the block changes the logic, an empty block is a bit awkward and the whole if/else is actually difficult to read, especially understanding when the exception need to be raised. Could this be simplified by saying:

  if port_security_enabled and security_groups and not network['subnets']:
    raise exception.SecurityGroupCannotBeApplied()

In any other case, just continue. Would that work?",False,12
54030,modules/seafile/manifests/init.pp,6316,7,AAAATn%2F%2F2Nc%3D,Line,11,AAAATn%2F%2F2Pg%3D,2013-10-27 20:47:21,"Fungi says /srv/seafile, so that is going to be the root directory.",False,12
59578,nova/network/neutronv2/api.py,261,3,AAAATn%2F9aiM%3D,Line,319,AAAATn%2F9fe4%3D,2013-12-11 19:15:29,"It seems there is a little tweak whether if you have subnet on the network and port security enabled, the exception should never be raised regardless of whether there are security groups or not.",False,12
