change_id,filename,author,patch_set,id,comment_type,line,in_reply_to,updated,message,unresolved,quarter
862995,/PATCHSET_LEVEL,31928,2,936fe526_888f6f52,File,-1,,2022-10-31 16:31:50,This is the cherry pick to stx6.0 to facilitate image building and tagging.,False,48
862852,ironic/db/sqlalchemy/api.py,11655,4,0a1c5986_88da771c,Line,338,c85a152f_abf92170,2022-10-28 13:36:32,"Yeah, I was thinking the path to achieve this was just get sqlalchemy to do it entirely for us so we didn't have to do any model response pre-processing.",True,48
862887,tripleo_common/tests/image/test_image_uploader.py,30073,10,755feb9f_e1e964b5,Line,313,0f7c9db4_3642c55f,2022-10-31 04:11:46,Done,False,48
862977,/COMMIT_MSG,4146,2,9b71a646_5030778b,Line,11,,2022-11-04 19:49:57,Should we have a release note indicating that users upgrading from 5.x need to stop at 8.0.1 before continuing forward?,True,48
863010,metadata.json,9816,2,e00563bc_3b3ce659,Line,38,,2022-10-31 12:54:14,zed release of puppet-openstacklib is 21.y.z.,False,48
862845,playbooks/zuul/roles/add-bastion-host/tasks/main.yaml,7118,3,ebd35482_b04b18ef,Line,4,3718e262_68e63d41,2022-11-03 22:37:06,I have proposed that with https://review.opendev.org/c/opendev/base-jobs/+/863566,False,48
862845,playbooks/bootstrap-bridge.yaml,4146,3,3a8cef50_e39cd676,Line,15,,2022-11-03 21:41:44,This is run by playbooks/zuul/run-production-bootstrap-bridge.yaml but that playbook doesn't seem to be updated to use prod_bastion in its add_host. I think that updating this file without that file will break things.,True,48
863010,metadata.json,9816,2,056ab8cb_40661e89,Line,34,,2022-10-31 12:54:14,this is consistent with zed puppet-openstacklib. rdo zed has 13.0.0 so we better bump the upper version to avoid version constraint warning.,False,48
862852,ironic/db/sqlalchemy/api.py,11655,4,2ac1bc66_0ef06af9,Line,1030,,2022-10-28 13:36:32,"So, I wonder if this could be models.Node.uuid instead of models.Node. The first item asks for the entire object, the second might be, and load_only is below...",True,48
863010,/PATCHSET_LEVEL,8833,1,63312b1b_5a00f0dd,File,-1,,2022-10-31 12:16:56,recheck,False,48
861710,/COMMIT_MSG,8833,1,5e370abe_6d3662e8,Line,10,,2022-10-18 11:09:43,Zed,True,48
862998,/PATCHSET_LEVEL,30539,1,2e813e52_8768c8f6,File,-1,,2022-10-31 18:29:15,CP only. WF,False,48
862852,ironic/db/sqlalchemy/api.py,11655,4,82219947_f78de151,Line,317,,2022-10-28 13:36:32,"Hmm, this is going to be costly if we need to do instance checking for every case where we want to do this. :\ Hmmm!

this is also the path I think we need to work towards eliminating for any sort of bulk operation.",True,48
862852,/COMMIT_MSG,11655,4,3c741e26_e4581923,Line,15,,2022-10-28 13:36:32,nit: it might not grok the extra space. :\  The UI definitely does not.,True,48
